# Warning, this file is updated automatically by SPADS.
# Any modifications performed on this file while SPADS is running will be automatically erased.
  
#?mapName:nbTeams|boxes
Akilon Wastelands - v18.smf:2|0 0 200 48;0 152 200 200
AlphaSiegeDry 2.2.smf:2|0 0 40 200;160 0 200 200
Altair_Crossing_v3.smf:2|0 0 40 200;160 0 200 200
Altored Divide Bar Remake 1.0.smf:2|0 0 200 54;0 146 200 200
Altored Divide Bar Remake 1.1.smf:2|0 0 200 50;0 150 200 200
Altored Divide Bar Remake 1.3.smf:2|0 0 200 40;0 160 200 200
Altored Divide Remake V1 fix2.smf:2|0 0 200 54;0 146 200 200
Altored Divide Remake V3.smf:2|0 0 200 20;0 180 200 200
AmazonDeltav20.smf:2|0 0 60 60;140 140 200 200
AmazonDeltav20.smf:3|0 45 30 75;120 170 150 200;150 20 180 50
Archers_Valley_v6.smf:2|0 0 200 40;0 160 200 200
Barren 2.smf:2|0 0 50 200;150 0 200 200
BlackLake_Swamp_v3.smf:2|0 140 60 200;140 0 200 60
CenterrockV12.smf:2|0 0 30 200;170 0 200 200
CenterrockV12.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
Cervino v1.smf:2|0 0 60 200;140 0 200 200
Cold Snap 2.smf:2|0 0 40 200;160 0 200 200
Colorado_v1.smf:2|0 0 34 200;166 0 200 200
Comet Catcher Redux.smf:2|0 0 200 50;0 150 200 200
Comet Catcher Reloaded 1.1.smf:2|0 0 40 40;160 160 200 200
Comet Catcher Reloaded 1.3.smf:2|0 0 50 200;150 0 200 200
Comet Catcher Remake 1.6.smf:2|0 0 40 200;160 0 200 200
Comet Catcher Remake 1.8.smf:2|0 0 40 200;160 0 200 200
Craggy Hills v3.smf:2|0 0 200 40;0 160 200 200
Crossing_4_final.smf:2|0 0 60 200;140 0 200 200
DSDR 3.7.smf:2|0 0 40 200;160 0 200 200
DSDR 3.91.smf:2|0 0 40 200;160 0 200 200
DSDR 3.92.smf:2|0 0 40 200;160 0 200 200
DSDR 3.93.smf:2|0 0 40 200;160 0 200 200
DSDR 3.94.smf:2|0 0 40 200;160 0 200 200
DSDR 3.95.smf:2|0 0 60 200;140 0 200 200
Daybreak Canyon v1.1.smf:2|0 0 40 200;160 0 200 200
DeltaSiegeDry.smf:2|0 0 40 200;160 0 200 200
Desert 2.7.smf:2|0 0 40 200;160 0 200 200
Desert 2.8.smf:2|0 0 60 200;140 0 200 200
Desert 2.96.smf:2|0 0 50 200;150 0 200 200
Desert 3.0.smf:2|0 0 50 200;150 0 200 200
DesertCliffsV1.smf:2|0 0 200 50;0 150 200 200
Desertmountain17_Fix.smf:2|0 0 50 50;150 150 200 200
EE-Deserted_Sinkhole-v02.smf:2|0 0 40 200;160 0 200 200
Emain Macha v3.smf:2|0 0 200 30;0 170 200 200
Escarpment-v2.smf:2|0 0 200 40;0 160 200 200
Evolutionary.smf:2|0 0 200 40;0 160 200 200
Eye of Horus v13.smf:2|0 0 200 40;0 160 200 200
Eye of Horus v13.smf:4|0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50
Fetid Marsh - v07.smf:4|0 0 40 40;160 160 200 200;0 160 40 200;160 0 200 40
FolsomDamDeluxeV4.smf:2|0 0 40 200;160 0 200 200
Gecko Isle 1.1.smf:2|0 0 200 40;0 160 200 200
Grts_RiverMouth_004.smf:2|0 0 40 200;160 0 200 200
Ibex v1.smf:2|0 0 60 200;140 0 200 200
Incandescence 2.1.smf:2|0 0 80 80;120 120 200 200
Incandescence 2.1.smf:4|0 0 80 80;120 120 200 200;0 120 80 200;120 0 200 80
Incandescence 2.2.smf:2|0 0 100 100;100 100 200 200
Incandescence 2.2.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
Into Battle v4.smf:2|0 0 50 200;150 0 200 200
John's-pond_rc.smf:2|0 0 50 200;150 0 200 200
Koom Gorge 3vs3 edition1.2.smf:2|0 0 40 200;160 0 200 200
Mescaline_V2.smf:2|0 0 40 200;160 0 200 200
Metal_Plate_22x22.smf:2|0 0 200 40;0 160 200 200
MoonQ20XR 1.1.smf:2|0 0 40 200;160 0 200 200
MoonQ20XR2 2.1.smf:2|0 0 54 200;146 0 200 200
MoonQ20XR2 2.2.smf:2|0 0 50 200;150 0 200 200
MoonQ20XR2 2.4.smf:2|0 0 50 200;150 0 200 200
Moor_v2.smf:2|0 0 200 50;0 150 200 200
Mountain Passes Rev1.smf:2|0 0 70 70;130 130 200 200
NOTA Supreme Battlefield.smf:2|0 130 70 200;130 0 200 70
Obsidian_1.5.smf:2|0 0 200 50;0 150 200 200
Otago 1.3.smf:2|0 0 40 200;160 0 200 200
Pathways-v04.smf:2|0 0 40 200;160 0 200 200
Quicksilver 1.1.smf:2|0 110 90 200;110 0 200 90
Quicksilver Remake 1.0.smf:2|0 0 70 200;130 0 200 200
Quicksilver Remake 1.15.smf:2|0 0 200 60;0 140 200 200
Quicksilver Remake 1.21.smf:2|0 130 70 200;130 0 200 70
Quicksilver Remake 1.22.smf:2|0 130 70 200;130 0 200 70
Red Comet Remake 1.6.smf:2|0 0 40 200;160 0 200 200
Red Comet Remake 1.7.smf:2|0 0 40 200;160 0 200 200
Red Comet.smf:2|0 0 40 200;160 0 200 200
River Dale-v02.smf:2|0 0 200 60;0 140 200 200
River_Dale_Remake-v01.smf:2|0 0 200 40;0 160 200 200
Riverdale Remake 1.02.smf:2|0 0 200 50;0 150 200 200
Riverdale Remake 1.2.smf:2|0 0 200 40;0 160 200 200
Riverdale Remake 1.3.smf:2|0 0 200 60;0 140 200 200
SapphireShores_V2.2.smf:2|0 0 60 200;140 0 200 200
Seth's Ravine 3.1.smf:2|0 0 60 60;140 140 200 200
Simple 6 Way 1.2-KotH.smf:2|0 0 200 40;0 160 200 200
Small Supreme Islands V2.smf:2|0 120 80 200;120 0 200 80
SmallSupremeBattlefieldSpecial.smf:2|0 150 50 200;150 0 200 50
Snowy_Mesa 0.43.smf:2|0 0 200 40;0 160 200 200
SpeedMetal BAR V2.smf:2|0 0 20 200;180 0 200 200
Stronghold V4.smf:2|0 0 40 40;160 160 200 200
Stronghold V4.smf:4|0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50
TMA20X 1.8.smf:2|0 0 200 60;0 140 200 200
TMA20XR 2.1.smf:2|0 0 200 60;0 140 200 200
Tabula-v2.smf:2|0 0 40 200;160 0 200 200
Tabula-v4.smf:2|0 0 40 200;160 0 200 200
Tabula_Flooded_v04.smf:2|0 0 50 200;150 0 200 200
Talus-wet-v3.smf:2|0 0 200 40;0 160 200 200
Tempest.smf:2|0 0 200 50;0 150 200 200
The river Nix 20.smf:2|0 0 40 200;160 0 200 200
Titan v3.1.smf:2|0 0 40 200;160 0 200 200
TitanDuel.smf:2|0 0 60 60;140 140 200 200
